Someone is frying meat.	أحدهم يعزف البيانو.
The man peeled potato.	The man is playing the guitar.
A man speaks.	A man is talking on the phone.
Woman preparing some food.	A woman is smoking.
Reclining man on the ground, firing a gun.	A man laying down and shooting a gun
A man was injured in the pasta dish.	A man is being put into an abulance.
A man sings in a microphone.	A man is diving into a swimming pool.
A man firing a gun.	A man is firing a shot gun.
A man shaking hands with another man.	The man is shaking hands with other men.
Goal hit the shot.	A target is being hit with gun fire.
A man playing the flute.	A man playing the guitar.
A man playing the guitar.	A man is peeling potato.
A man riding a horse in the ring.	The woman is riding a horse.
Plane lands on the runway.	An airplane moves along a runway.
Woman lie down in the float.	A woman is slipping in the water-tub.
Man confused.	A man is mowing a lawn.
Woman practicing sport.	A man is dancing.
A man dancing.	A woman is exercising.
Woman hit the man.	A woman is peeling a potato.
Malacca man on the ground.	A man is playing piano.
Woman riding horse.	A woman is doing ballet.
A man playing the guitar.	A woman is applying makeup.
Woman paddling a boat.	A woman is cutting an onion.
Woman cut green pepper.	A woman is slicing a big pepper.
Someone put the rice in a bowl.	A woman is stirring rice in a pot.
A boy plays the machine.	A boy is playing the violin onstage.
Woman measure the ankle another woman.	The woman is measuring the other woman.
Man sprinkle grated cheese on the pizza.	A man puts some cheese on a pizza.
A man puts pieces of meat in a plastic bag.	A woman puts slabs of meat in a pan.
A boy playing the trumpet.	The boy played his trumpet.
A man riding a motorcycle.	A person is riding a horse.
A man cut a grain of vegetables.	A man is staring at a leaf.
Woman cut carrot.	A woman is slicing an onion.
Woman cut potato.	A man is slicing vegetables.
Woman playing oboe.	A cat is playing.
A man riding a bicycle around the parking lot.	A man is riding a bicycle.
Band playing and singing on stage.	A band is performing on a stage.
Someone put Komodo dragon in a small bowl.	A person is picking a komodo dragon and putting it in a box.
Women ride horses.	The woman is slicing fish cake.
A man plays the oboe.	A man is eating bread.
Woman dances.	A woman is cooking shrimp.
Someone threw a cat into the air, A person throws a cat in the air and it grabs onto the ceiling.	A woman is dancing.
Someone threw a cat into the air and attached to the ceiling.	A woman tosses a cat in the air, and the cat hangs off a rod on the ceiling.
A man tossed bag down the ladder roundabout.	A person drops a camera down an escelator.
Turtle walk.	A big turtle is walking.
A man firing a gun.	A man is doing exercise.
Man shoots.	A man is burning a flag.
The man is pushing the van.	المرأة تغنّي.
A man adds oil to the car.	A man is eating wood.
Dog eat some watermelon.	A dog is speaking to the camera.
A man puts the paper on a platter.	A man is putting two paper towels on a paper plate.
A man and a woman walking Mmscan each other.	A man and woman are walking.
The man cut the strand is thick with a sword.	A man is cutting a rope with a sword.
A man playing the harp.	The man is singing and playing the guitar.
Dog eat doll.	A dog is playing with a toy.
Someone ripped the paper.	A man is cutting a paper.
Born peeled potato.	A man is playing a piano.
Rat is going on.	A man is dancing.
A woman talks on the phone.	Two boys are talking on the phone.
Woman flake tuber.	A man is playing guitar.
Woman cut lemon.	A woman is slicing an onion.
Being a man on a rope.	A woman is riding a horse.
A man draws some respects.	A man is playing soccer.
A man playing a flute.	A woman is peeling an orange.
Cat walk.	A man is bowling.
A man breaks the egg.	Someone is cracking an egg open.
Woman cut meat.	A man is cutting a snake to cook.
A man playing the guitar.	The man is playing the keyboards.
Woman wash bowl.	A woman is applying eye shadow.
A man beating pots pottery.	A woman is scraping a carrot.
The man waved play on the keys.	A woman is playing the flute.
Woman ride villa.	A man is riding on a horse.
A man and a woman dancing in the rain.	A man and woman are Bollywood dancing.
A man with a huge sunflowers.	A woman is cutting flowers.
Woman cut tomato.	A woman is dancing near a fire.
The man danced in the diner.	القنبلة إنفجرت في الصحراء.
A man dancing.	A man is playing flute.
American flag is waving.	علم أمريكي يرفرف في الريح .
Lion wandering around.	A lion is walking in an enclosed area.
Tiger walking aimlessly.	A tiger is walking around his cage.
Someone pours olive oil in a saucepan on the gas.	A person pours cooking oil into a pot.
Woman riding horse.	A woman is cutting potato.
Bread man appears.	A woman is slicing a lemon.
Man speaking to the public.	A man is making a bed.
Parrot speak into the microphone.	A parrot is talking.
Woman explains some of the tuna.	A woman is playing the flute.
Someone cut the onion.	A person is riding a motorcyle.
A man dancing in the rain.	A man is singing into a microphone.
A man puts rice in a deep saucepan.	A man pours rice into a pot.
Dog barks at the duck electronic game.	The dog is barking at the toy.
Woman mix egg in a bowl.	A woman is adding an egg and stirring.
Woman marinate a piece of meat.	A woman covers a piece of meat with flour.
Someone cut the schizophrenia of garlic with a knife.	A person is slicing some garlic.
Cat, perching on the table, look out the window.	A white cat perched on a small wooden cabinet is looking outside the window.
Woman lifts weights.	A woman is exercising.
Man exercised.	A man does floor exercises.
A young boy walking in the direction of ocean waves and reversible.	A child runs into and out of the ocean waves.
Man peeling a banana.	A man is slicing a potatoe.
A man playing a wooden flute.	A man is playing the piano.
A man riding a horse in the desert.	A guy is riding a horse.
Someone is playing piano.	شخص يعزف على لوح مفاتيح البيانو.
Woman paints the face of a man.	The woman is putting makeup on the man.
Woman lay eggplant section in the pan.	The woman droppped eggplant into the pan.
Take your dog something from the fridge.	A dog is stealing food from a refrigerator.
A man plays a trumpet.	رجل يعزف على آلة موسيقية.
People burn Cameras.	A person uses a blowtorch on two cameras.
A woman, in the kitchen, peeling a lemon.	A woman is slicing a lemon.
Assad is trying to climb the wall.	A tiger trys to climb the wall.
Man with a knot.	A man is preparing a hanging rope.
Woman dances.	A woman dances on a stage.
Woman cut potatoes.	A woman is slicing ginger.
Men are playing soccer.	فريقان يلعبان كرة القدم.
The girl sprayed the plants with water.	The girl is riding the horse.
A man enters the car in the garage.	A man is putting a knife in a vice.
Someone peeled potato.	A person is frying.
Woman grated garlic.	A man is shooting a pistol.
Woman cut onion.	A woman is swinging her arms.
A man dancing.	A man is walking outside.
Man speaking.	A woman is cooking meat.
Woman combs her hair.	A man dries his hands.
Kicking a football player the ball in the net.	A soccer player is kicking the soccer ball into the goal from a long way down the field.
Woman wring pill Kusa vegetable brush.	A person is scrubbing a zucchini.
Puppy tried to get out of the tub.	A puppy is trying to come out from the sink.
A young girl plays a great piano on stage.	A girl is playing the piano.
A man paints on a dry-erase digital panel.	A man is drawing some figures.
Monkey swinging from branch to branch.	The monkey is hanging from the trees.
Two boys playing on a trampoline.	Some children are jumping on Trampoline.
Person folding a piece of paper.	A person is folding a square paper piece.
Woman cut green pepper.	A woman with a knife is slicing a pepper.
Plays a baby panda with a stick.	A panda bear is chewing on a stick.
A man put anti-freeze in a car.	A man is adding oil to car.
It holds many people large suitcases.	The people are lifting bags.
Woman put the oil in the pan.	The boy is playing the piano.
A man walks at night beside the shop.	A man is talking on the phone.
A man climbs the rope.	A man is slicing a carrot by a machine.
A boy played a keyboard.	شخص يعزف بيانو بلوح مفاتيح.
A boy plays in the mud.	A cat is playing with an antenna.
Someone cut cantaloupe.	A woman is slicing pumpkin.
A man riding a motorcycle.	A woman is braiding her hair.
Woman climbing rock wall.	A man is cutting a potato.
A man adds water to the pan.	A woman is feeding a baby.
Woman riding horse.	A man is playing a guitar.
Some people threw a doll off the cliff.	The people threw the dummy over the cliff edge.
Peel the potato.	A gun is being fired.
Women eat.	A woman is mixing eggs.
Woman playing harp in the streets.	A woman is cutting a plastic sheet.
A woman cuts a pineapple.	إمرأة تقطّع الأناناس إلى قطع.
Woman adds ingredients to the beef.	A woman is adding spices on a meat.
Cook adds oil to the pan.	A person is adding oil in the pan.
Season with a man some dough in the pan.	A cook seasons some dough.
Two boys playing on the beach.	A boy is running on a beach.
Monkey scratching his stomach.	A baby monkey scratches itself.
Man who designed the blades to a target destination abroad.	The man is throwing knives at a tree.
Woman riding horse.	A boy is riding a bike on a gate.
Woman put lipstick.	The woman is slicing tofu.
A man is tying in the device.	A man is riding on a boat.
Woman put eye shadow.	A woman is folding paper.
Someone cut into small pieces of ginger.	Someone is folding a piece of paper.
A man squeezes water.	A man is doing a card trick.
Someone plays the harp.	A man is playing the piano.
Man Chop eggplant.	A man is lifting weights.
Young shearing grass.	A man is mowing grass.
Someone asks connectivity on the road.	A person is mixing water and flour.
Cowboy rode his horse in the desert.	The two dogs were in the pen.
Something that catches a person tricks on a motorcycle.	A man is riding on one wheel on a motorcycle.
Man quail seasons.	A man is serving cake.
Never opens a drawer and then a plastic Bkivh scope inside.	A cat opens a drawer and climbs inside.
A man playing the harp.	A man is opening a box using a knife.
Woman climbs rocks.	A man is eating.
Dog fluctuates from side to side.	A puppy is repeatedly rolling from side to side while on its back.
Child playing the harp.	A young boy sings and plays a guitar.
The man swinging on a string.	The woman is peeling lemon.
Someone playing with a frog.	A man is playing the trumpet.
Man Arkassaly ceiling.	A man is standing on a roof top playing a violin.
Dog watching the shop counter.	A dog is looking around
A man appeared carrot cut with a knife.	A woman is slicing an onion.
A man digs wood.	The man drilled holes into the wood.
Someone put tomato sauce in a bowl in the flesh.	Someone is cutting a circle out of a pink sheet of paper.
A man playing with a dog restricted.	A man is playing flute.
A man driving a car.	A man is placing meat in a bag.
A man playing the trumpet.	A girl is eating a cupcake.
Real bunny rabbit play with a toy.	A rabbit is sniffing and pawing a stuffed rabbit.
Woman riding horse.	A man is buttering bread.
Monkey practiced martial arts.	A monkey is karate kicking a person.
Woman indulged in green slime.	A woman is squeezing some cucumber slices.
The man took a piece of pepperoni pizza out of the box.	A man takes a piece of pepperoni pizza out of a pizza box and puts it on the lid after he closes the box.
A man adds sliced ​​vegetables to the cooking pot with water.	The man added vegetables to the broth in the pot.
A man jumps into the wall.	The man ran and jumped against the wall.
A man lifts small weights quickly.	A man is playing a cello.
A man walks down the stairs.	The man is talking.
Man Vexes snake mouse.	A man tries to feed a mouse to a snake.
Man spices added to the water in the vase.	The man is seasoning the sausages.
Clown sings.	A clown is singing and people are dancing.
Woman grated garlic.	A woman is feeding an aardvark.
A man shappens a knife.	رجل يحمل إمرأة.
A man rinses a great steak.	A person is rinsing a steak off with water.
BMX bicycle rider leads along the top of the fence.	A boy rode his bike on top of a metal fence.
A man displays a magical games.	A man is throwing knives at a tree.
Woman cut out some paperwork.	A man is playing the drums.
Woman grated onion.	A woman is brushing her feet.
A man sits and plays a small guitar.	A man is playing a ukulele.
Women Models walked down the podium.	Girls are walking on the stage.
Woman rehearse iron.	A woman is doing weight exercises.
A man walking long distances.	A man is peeling a potato.
Bird picks up a glass of plastic containing fluid beak and put the cup in a bowl.	A large bird standing on a table picks up a plastic glass containing liquid and places it in a bowl of something.
A car driven along the way.	A woman is in the rain.
A man raises himself.	A woman is riding an elephant.
Woman explains Tamatma.	A woman is removing skin from some meat.
Woman grated some shiso leaves.	A woman is wearing headphones.
A young child drinks water from a cup.	A kitten is drinking milk from a bowl.
Kitten eat some food.	A kitten is eating its food from a plate.
Woman explains the meat into pieces.	A woman is reading a lifestyle magazine.
A man opens the tray and pour the contents into a bowl.	A man is pouring chili into a bowl.
A man beating two eggs in a bowl with a fork.	A man is stirring ingredients in a bowl.
A bird eats from a bowl.	The bird ate the food in the tree from a bowl.
A video clip of Rihanna leaving a taxi.	A group of girls are exiting a taxi.
Woman breaks an egg in a frying pan.	A man breaks cinder blocks on another man.
A man with a gun shot.	A woman is seasoning a piece of meat.
A woman contesting the potatoes with a fork.	A woman is relaxing in a bath tub.
Women cut potatoes.	A woman is adding oil on fishes.
Woman grated green onions.	A woman is writing something.
A man playing the guitar.	A man is chopping coriander leaf.
A man speaks on his mobile phone.	A man takes a slice of pizza.
Wallabies woman carrying in a bag.	A man is placing meat inside a plastic bag.
Children fed peas.	A baby eats his food.
A man standing in the rain.	A man is slicing a carrot by a machine.
A man walking on a rope.	A rabbi is talking.
A man rides a horse.	إمرأة تدلك ساق الطفل.
Someone expands.	A man is playing guitar.
A man breaks the pots.	A man is slicing a bun.
Woman dive shrimp in the mixture.	A man  is driving a car.
Dog plays with an insect on the carpet.	A dog is pawing at a fly in the carpet before it.
Plane fly.	A dog is barking.
A man playing the electric guitar.	A man is playing a guitar and singing on a stage.
A man riding a horse.	A monkey is walking on a bed.
A man eating his food.	A woman is cooking broccoli.
A man mows the mat.	A man is hitting a boy with flower vase.
A man sings and plays guitar.	A boy is playing a piano.
Person leads trick cards.	A man is frying a tortilla.
Women&#39;s volleyball pass to another woman that you have applied.	A woman serving volleyballs over a net.
Person ignites a fire.	The person is starting a fire.
Man cook the tortilla in the skillet.	A man is slicing cucumber with a knife.
Band playing instruments.	A man is playing an electronic keyboard.
The man holding the two types.	The man is mixing whipping cream.
Child laughs and crawls.	A man is playing a violin.
Man peeling an onion.	A man is stirring juice.
A man goes Shoe sword.	A man severs the toe of an empty leather boot using a sword.
Someone is slicing two uncooked racks of ribs apart.	شخص ما يقطع قطعة من اللحم.
Someone removes deposits of fish.	The person is removing the scales from the fish.
One boy is talking with another man.	People are walking in the garden.
A young child rides a horse.	ركبت الطفلة الصغيرة الحصان.
Someone put the ingredients in a deep frying pan.	A person is cutting garlic into pieces with a knife.
A man explains a plastic container with a sword.	A man is folding a piece of paper.
A man pushes another man to the ocean.	The man was pushed into the water.
Someone plays Gaam Boy.	A boy is upset playing video games.
The man made a telephone call.	A man makes a call on a cell phone.
Chewed stick panda bear.	A man is speaking on a phone.
A man transforms foods.	A man is kicking pots of water.
Woman puts makeup.	A woman is applying cosmetics to her face.
The man lifted barbells.	رجل يرفع الأثقال
They talk with each other, two by two.	Two little girls talk on the telephone.
Never swinging the fan.	A cat gets stuck on a moving ceiling fan.
White cat licks and drank milk remaining in the dish.	The cat is drinking milk.
Women Atamn animal.	A woman feeds an animal by hand.
Woman wash bowl.	A woman is riding a horse on the beach.
Man mince finely chopped green material.	A person is chopping an herb.
Rodents come down the bottom shelf.	Several ferrets climb out of their cage.
A boy fills a jar with water.	A woman is collecting tap water in a mug.
Woman wash the top of the freezer.	A young woman is playing the flute.
A woman shoots a shotgun.	المراة تطلق النار من البندقية.
Woman fails two eggs in a bowl Used racket wire.	A person is whisking eggs in a bowl.
The man adds spice to beans beans.	A person is adding chili powder to chili with beans.
A woman rapidly fires a handgun.	إمرأة تطلق النار من المسدس.
Men running around on the beach.	Rocky and Apollo Creed are running down the beach.
A man filled the same food.	A man is singing while playing the guitar.
A dog trying to get out of the door of the allotted dogs.	The dog could not figure out how to get a stick out the doggy door.
Dog closes the door of a refrigerator.	A dog is opening a fridge.
Man exercised pay body exercises.	A woman is mixing eggs in the bowl.
The man playing the harp.	A boat sails along the water.
Woman harm to her son.	A woman is holding a dancing baby up.
The girl applied facial makeup of a man.	A woman is doing a joker make up on a man.
A man pours a dish of grated cheese in a bowl of sauce.	The lady added cheese to the sauce.
A man presents a lecture at a ceremony to celebrate the game of cricket.	A man is giving a lecture on a podium.
It never crawls upside down under the couch.	The cat shimmied under the bed.
Woman explains fish.	A woman is chopping garlic.
A masked man sings.	A man is cutting grass.
Clown sings.	A man is cutting grass.
The man fluctuations in the back on a trampoline.	Several kids jump up and down on a trampoline.
A man picks up images of an ant.	A man is carrying another man on his back.
Chef explains shrimp.	The lady made some slices on the shrimp.
A man playing with two dogs.	A woman is pouring egg into a frying pan.
A man cut the trunk with an ax.	A woman is frying ground meat.
Woman put the meat in the pan.	Meat is dropped into a pan.
Woman lies on the sand castle.	A woman is cutting scallions.
Girl riding a bicycle.	A machine is sharpening a pencil.
A man driving a car.	A man is cleaning the windows.
A man playing the guitar.	Someone is mixing a liquid.
Woman breaks an egg.	A person is stirring rice.
Three men practicing karate movements in the field.	Three boys in karate costumes are fighting.
A man puts a knife in a vice.	رجل يرقص.
Boy on stage playing the violin.	A boy plays violin on stage.
A man playing the guitar.	A woman cuts a pink loaf with a knife.
Woman peeling potatoes.	A man is adding pork chops to a pan.
Drawing the man on the white paper.	The men are fighting each other.
Chef peeling potatoes.	A girl is reading a newspaper.
A slow loris bites a persons fingers.	حيوان صغير يمضغ على إصبع.
Man peeling an onion.	A man is walking along a path through wilderness.
A man sings while playing his guitar.	The man played his guitar.
Women swimmers dive from a platform launch.	Swimmers are racing in a lake.
Someone is playing paino.	أحدهم يقلي لحما.
The man quickly cut some mushrooms using a knife.	A person is quickly chopping mushrooms with a knife. 
Cleaning woman ingredients in the pot.	A woman is cracking three eggs into a bowl. 
The skater Pray deceitful above the half pipe.	A man skateboards on a half pipe. 
A man speaks on stage?	A man is speaking at a podium. 
A man in a hat is playing a harp.	رجل يعزف القيثارة.
A man plays his keys on the panel.	A man is playing a guitar. 
Someone cut the potato.	A person is slicing a shallot. 
A man plays the drums.	A man is playing his guitar. 
A man dancing on the ceiling room.	A man is dancing upside-down on the ceiling. 
Two men dancing.	Two women are shopping. 
One seasoned eggs.	Someone is seasoning two raw eggs in a bowl. 
Woman peeling an onion.	The woman is slicing green onions. 
Someone confuses a bowl of rice.	A person is peeling a potato. 
A man swinging from a rope.	A gibbon is swinging in the trees. 
Someone cut the onion.	Someone is carrying a fish. 
A man cut tomatoes.	A woman is cutting broccoli. 
Woman boil shrimp.	A woman is combing her hair. 
A man cut potato.	A man is slicing a potato. 
A man pinches in the road.	A man is dancing. 
Deer jumped over the fence.	A deer jumps over a cyclone fence. 
Girl dancing in the rain.	A woman is dancing in the rain. 
Woman writes a message	A woman is sitting at a desk. 
Gorilla playing drums.	A monkey is playing drums. 
A man playing the harp.	The girl is playing the guitar. 
Woman riding horse.	A woman is picking tomatoes. 
Lion cub trying to climb over the fence.	A lion tries to climb over a wall. 
Man speaking in a cell phone.	A guy is talking into a microphone. 
A man playing the harp.	A man is cleaning a cd. 
The boy cut the grass at the edge of the road with scissors.	A boy cuts grass with scissors. 
Woman cut some peeled potatoes into thick slices.	A woman is chopping a peeled potato into slices. 
Man with glasses speak.	A man in a library is talking. 
A young girl riding wheel.	A girl is riding a scooter. 
Woman cut some flowers.	A woman is cutting broccoli. 
A person walking in the path of stones.	A man is walking down a sidewalk. 
What hurt a chicken broth in a bowl.	The man is pouring broth into the pot. 
A man using the keys waved his nose.	The man is playing the piano with his nose. 
A man playing the guitar.	A cat is playing. 
Animal eats.	The animal is hopping. 
A man lifts weights.	A man is lifting a barbell. 
A man is going on with the bus.	A man runs with a truck. 
A man climbs the rope.	A man is sitting on a rock. 
A cat playing the piano.	A cat is licking its paw. 
A woman dancing in the rain.	A woman is adding oil to a dish. 
Cat cleans itself.	A cat is licking itself. 
A man kicking a football.	A man is performing tricks with a soccer ball. 
Men are conducting in the race.	Racers are running down a track. 
Woman opens a window.	A woman is looking out a window. 
Man Sagta tomatoes into pieces.	A woman is cutting potatoes. 
A man playing the flute.	A woman is applying eye liner. 
Woman cut potatoes.	A woman is slicing carrots. 
Three men doing the same dance in the way.	Three shirtless men are dancing in the street. 
Hen click a dead rat.	A rooster pecks at a dead mouse. 
Woman cut onion.	A woman is chopping garlic with a knife. 
Alkhiaraly women cut thin slices.	The woman is slicing a tomato. 
Someone cut pieces of bread.	A man is slicing bread. 
Woman cut grain percussion.	A woman is cutting big pepper. 
Woman Cleaning oil on the fish.	A woman is riding a horse. 
Woman bode islands.	A woman is coating a pork chop. 
Someone cleans the animal.	A woman is cleaning a shrimp. 
The man playing the harp.	The man is peeling a potato. 
A man speaks on the phone.	A man is talking. 
A woman smoking.	A woman is making some food. 
Reclining man and firing a gun.	A man is laying on the ground shooting a rifle. 
A man was put in the ambulance.	A man is pouring pasta onto a plate. 
Man dive into the pool.	A man is singing into a microphone. 
A man shoots a shotgun.	رجل يطلق النار من المسدس.
The man shaking hands with other men.	A man is shaking another mans hand. 
It has been hit a target shooting.	The target was being shot with bullets. 
A man playing the harp.	A man is playing a flute. 
Man peeled potato.	A man is playing a guitar. 
Women ride horses.	A man is riding a horse in an arena. 
Moving aircraft along the runway.	A plane is landing on a runway. 
Woman asleep in the water basin.	A woman is lying in a raft. 
Man shearing grass.	A man is mixing. 
A man dancing.	A woman is exercising. 
Woman practicing sport.	A man is dancing. 
Woman Takecrehh potato.	A woman is hitting a man. 
A man playing the piano.	A man is laying on the ground. 
Woman dances ballet.	A woman is riding on a horse. 
Woman puts makeup beautifying.	A man is playing a guitar. 
Woman cut onion.	A woman is rowing a boat.
Woman cut a large grain of pepper.	A person is cutting a green pepper. 
Woman mix the rice in a bowl.	Someone is putting rice in a pan. 
A boy playing the violin on stage.	A boy is playing an instrument. 
Woman measure another woman.	The lady measured the other woman's ankle. 
A man puts the cheese on the pizza.	A man is sprinkling shredded cheese on a pizza. 
Woman puts Hraiha of meat in a bowl.	A man puts pieces of meat into a plastic bag. 
The boy plays his trumpet.	A boy is playing the trumpet. 
A person riding a horse.	A man is riding a motorcycle. 
A man staring at the paper.	A man is slicing a vegetable. 
Woman cut onion.	A woman is cutting a carrot. 
A man cut vegetables.	A woman is slicing a potato. 
He never plays.	A woman is playing flute. 
A man riding a bicycle.	A man is riding a bicycle around a parking lot. 
The band performs on stage.	A band is playing and singing on a stage. 
Someone picked up the Komodo dragon and put it in the Stdouk.	A person is placing a baby komodo dragon into a container. 
Women cut the fish cake.	The woman is riding a horse. 
A man eating bread.	A man is playing flute. 
Woman cook shrimp.	A woman is dancing. 
Woman dances.	A woman is slicing ginger. 
Woman shot the cat in the air, hanging off the rod and the cat on the ceiling.	A person throws a cat in the air and it grabs onto the ceiling. 
Someone dropped a camera down the ladder roundabout.	A man tosses a bag down an escalator. 
Large turtle walk.	The tortoise is walking. 
Man exercised.	A man is firing a rifle. 
A man burning note.	A man is shooting a gun. 
Man drives truck.	The woman is singing. 
A man eating wood.	A man is adding oil to car. 
Dog speaks to the camera.	A dog is eating some water melon. 
A man puts a couple of paper towels on a plate of paper.	A man is putting papers on a dish. 
A man and a woman walking.	A man and woman walking hold each other. 
A man cut the cord with the sword.	The man slced through a thick rope with a sword. 
The man sings and plays the ukulele.	A man is playing a guitar. 
A dog playing with a toy.	A dog is eating a doll. 
A man cut paper.	A person is tearing paper. 
A man playing a piano.	A guy is peeling a potato. 
A man dancing.	A rat is running. 
Two boys talking on the phone.	A woman is talking on a telephone. 
A man playing the guitar.	A woman is peeling a tuber. 
A women slicing lemons.	إمرأة تقطع البصلة.
Woman riding horse.	A man is running on rope. 
A man plays football.	A man is drawing some figures. 
Woman Takecrbertqalh.	A man is playing a flute. 
A man plays bowling.	A kitten is walking. 
Someone breaks the egg.	A man is breaking an egg. 
A man goes to a snake Itboukh.	A woman is cutting meat. 
The man waved play on the keys.	A man is playing guitar. 
Woman put astray eyes.	A woman is washing a bowl. 
Woman washing away islands.	A man is striking clay pots. 
Woman playing oboe.	A man is playing a keyboard. 
A man riding on a horse.	A woman is riding an elephant. 
A man and a woman dancing Alboliod.	A man an woman are dancing in the rain. 
Woman cut flowers.	A man is holding huge sunflowers. 
Woman dancing near the fire.	A woman is cutting a tomatoe. 
Dance man in the restaurant.	The bomb exploded in the desert. 
A man plays the oboe.	A man is dancing. 
American flag waving.	A American flag is blowing in the wind. 
Lion walks in a locked place.	A lion is walking around. 
A tiger walks around aimlessly.	نمر يتجول في قفصه.
Someone pours cooking oil in a saucepan.	A person is pouring olive oil into a pot on the stove. 
Woman cut potatoes.	A woman is riding a horse. 
Woman cut a lemon.	A man is showing a bread. 
Man made beds.	A man is speaking to an audience. 
Parrot speaks.	A parrot is talking into a microphone. 
Woman playing oboe.	A woman is slicing some tuna. 
A person riding a motorcycle.	A person is chopping an onion. 
A man sings in a microphone.	A man is dancing in the rain. 
A man pours the rice in the pot.	A man is putting rice in a bowling pot. 
Dog barking on the game.	A dog is barking at an electronic toy duck. 
Woman add egg and mix.	A woman is mixing an egg in a bowl. 
Woman covering a piece of meat with flour.	A woman is seasoning a piece of meat. 
Someone explain some garlic.	A person is dicing a clove of garlic with a knife. 
White cat perched on a small wooden cupboard look out the window.	A cat, perched on a table, looks out the window. 
A woman lifts weights.	إمرأة تمارس الرياضة.
Man exercised floor exercises.	A man is exercising. 
A child being in and out of the ocean waves.	A young boy is running toward and from the ocean waves. 
A man explains potato.	A man is peeling a banana. 
A man plays the piano.	A man is playing a wooden flute. 
A man riding a horse.	A man is riding a horse in the desert. 
Someone is playing the piano.	A person is playing a keyboard piano. 
Women put make-up of the man.	A woman is painting the face of a man. 
Women put eggplant in the pan.	A woman puts chopped eggplant into a skillet. 
Dog stealing food from the refrigerator.	The dog took something out of the refrigerator. 
A man playing the trumpet.	A man is playing a musical instrument. 
Someone used a blowtorch on two Alkamirat.	A person is burning cameras. 
Woman cut a lemon.	A woman, in a kitchen, peels a lemon. 
Tiger is trying to climb the wall.	A lion is trying to climb up over a wall. 
A man attends a rope suspension.	A man is tying a noose. 
A woman dancing on the stage.	A woman is dancing. 
Woman cut Zenjbala.	A woman is cutting potatoes. 
Two teams play soccer.	رجال يلعبون كرة القدم.
The girl riding horse.	The girl is spraying the plants with water. 
A man put a knife in a vice.	A man is getting into a car in a garage. 
Fry person.	A person is peeling a potato. 
A man firing a pistol.	A woman is chopping garlic. 
Woman swung her arms.	A woman is slicing an onion. 
A man walking outside.	A man is dancing. 
Woman cook meat.	A man is speaking. 
